ID,Gene,FoldChange.acetyl,pval.acetyl,logp.acetyl,signedlogp.acetyl,FDR.acetyl,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
TAF7-K291,TAF7,-0.0222,0.707754011,0.150117661,-0.150117661,0.93516675,-0.145,0.310560954,0.507853148,-0.507853148,0.516250827
TAGLN-K108,TAGLN,0.1221,0.434474986,0.362035222,0.362035222,0.80951956,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K121,TAGLN,0.1421425,0.406194509,0.391265951,0.391265951,0.790400478,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K154,TAGLN,0.26095,0.05260832,1.278945566,1.278945566,0.395147498,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K17,TAGLN,0.846475,0.175242662,0.756360158,0.756360158,0.585048499,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K172,TAGLN,0.2825225,0.14712198,0.832322438,0.832322438,0.558408571,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K21,TAGLN,0.364,0.085484847,1.068110859,1.068110859,0.456123901,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K57,TAGLN,0.18475,0.3416895,0.466368367,0.466368367,0.739275278,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K75,TAGLN,0.538,0.011291366,1.947253504,1.947253504,0.239564287,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K78,TAGLN,0.3081,0.053802848,1.269194735,1.269194735,0.396352921,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K89,TAGLN,0.191175,0.074829609,1.125926527,1.125926527,0.433314351,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN-K99,TAGLN,0.180725,0.098826985,1.005124454,1.005124454,0.470526824,0.875,0.25084483,0.600594846,0.600594846,0.453509261
TAGLN2-K109,TAGLN2,0.055125,0.343825371,0.46366208,0.46366208,0.739706546,0.065,0.476800515,0.321663284,0.321663284,0.666236921
TAGLN2-K192,TAGLN2,0.2375,0.073022285,1.13654458,1.13654458,0.433314351,0.065,0.476800515,0.321663284,0.321663284,0.666236921
TAGLN2-K38,TAGLN2,0.1665,0.284678695,0.545645034,0.545645034,0.690484731,0.065,0.476800515,0.321663284,0.321663284,0.666236921
TALDO1-K130,TALDO1,0.2504,0.382245482,0.417657639,0.417657639,0.768673738,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K136,TALDO1,-0.417,6.35E-02,1.197523113,-1.197523113,0.415592479,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K203,TALDO1,-0.099425,0.435258489,0.36125275,-0.36125275,0.810200428,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K215,TALDO1,0.0967,0.622320377,0.205985979,0.205985979,0.900139933,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K219,TALDO1,-0.2374,0.132865973,0.876586226,-0.876586226,0.528196911,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K258,TALDO1,-0.0175,0.766490574,0.115493182,-0.115493182,0.959296912,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K269,TALDO1,0.204,9.76E-01,1.05E-02,0.010484858,0.99923084,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K277,TALDO1,-0.3595,0.556778641,0.254317433,-0.254317433,0.865677572,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K286,TALDO1,-0.164,0.783725136,0.105836224,-0.105836224,0.963872943,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K307,TALDO1,-0.0931,0.955826629,0.019620875,-0.019620875,0.996324523,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K314,TALDO1,0.0335,0.888632267,0.051277921,0.051277921,0.983742051,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K321,TALDO1,-0.011,0.610242229,0.214497743,-0.214497743,0.893624434,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K337,TALDO1,-0.01485,0.758024414,0.120316807,-0.120316807,0.956454445,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K71,TALDO1,-0.1575,0.477345868,0.321166832,-0.321166832,0.826203149,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TALDO1-K81,TALDO1,0.05855,0.704705683,0.151992226,0.151992226,0.935004313,-0.05,0.466472265,0.331174173,-0.331174173,0.65793616
TAOK1-K820,TAOK1,0.0664,0.221920283,0.653803002,0.653803002,0.637736663,0.135,0.272148272,0.565194419,0.565194419,0.476940889
TAP1-K792,TAP1,0.466,0.489377289,0.310356189,0.310356189,0.830605521,0.8,0.313290855,0.504052282,0.504052282,0.518699872
TARS-K246,TARS,0.07855,0.647847821,0.188526997,0.188526997,0.909344156,0.525,0.0059485,2.225592557,2.225592557,0.03631594
TARS-K693,TARS,0.1917,0.448569272,0.34817048,0.34817048,0.810363825,0.525,0.0059485,2.225592557,2.225592557,0.03631594
TASP1-K24,TASP1,0.0433,0.472428697,0.325663729,0.325663729,0.826203149,0.195,0.080443034,1.09451156,1.09451156,0.214223839
TBCA-K23,TBCA,0.157625,0.19899245,0.7011634,0.7011634,0.610280646,0,0.686694579,0.163236381,0,0.826128768
TBCA-K28,TBCA,0.0213,0.691825157,0.16000365,0.16000365,0.92945793,0,0.686694579,0.163236381,0,0.826128768
TBCB-K211,TBCB,0.68687,0.031202899,1.505805057,1.505805057,0.341230751,0.62,1.53E-05,4.816480332,4.816480332,9.24E-04
TBL1XR1-K102,TBL1XR1,1.029,2.68E-06,5.57205859,5.57205859,0.008548354,0.785,1.33E-06,5.875028986,5.875028986,3.46E-04
TBL2-K364,TBL2,0.277,0.342732311,0.465044951,0.465044951,0.739699401,0.135,0.919672641,0.036366733,0.036366733,0.957999792
TCEA1-K265,TCEA1,0.092,0.659236712,0.180958616,0.180958616,0.912619577,0.295,0.324155692,0.489246348,0.489246348,0.529984039
TCEAL5-K83,TCEAL5,0.32265,0.874351715,0.058313834,0.058313834,0.983227298,1.615,0.165479823,0.781254951,0.781254951,0.344649656
TCEAL6-K63,TCEAL6,-0.07205,1,0,0,1,2.195,0.154386749,0.811389979,0.811389979,0.329726531
TCF20-K1267,TCF20,-0.00808,0.449207188,0.347553303,-0.347553303,0.810363825,-0.18,0.294815356,0.5304499,-0.5304499,0.499983116
TCF20-K1281,TCF20,-0.53336,0.25295777,0.596951976,-0.596951976,0.660369652,-0.18,0.294815356,0.5304499,-0.5304499,0.499983116
TCF20-K1428,TCF20,-0.038,0.91137075,0.040304914,-0.040304914,0.985845275,-0.18,0.294815356,0.5304499,-0.5304499,0.499983116
TCF20-K1538,TCF20,-0.4215,0.00170994,2.767019079,-2.767019079,0.124305093,-0.18,0.294815356,0.5304499,-0.5304499,0.499983116
TCF20-K446,TCF20,0.25665,0.510184556,0.292272692,0.292272692,0.845532648,-0.18,0.294815356,0.5304499,-0.5304499,0.499983116
TCF20-K549,TCF20,-0.681,2.62E-03,2.582176719,-2.582176719,0.144806353,-0.18,0.294815356,0.5304499,-0.5304499,0.499983116
TCF20-K619,TCF20,-0.16875,0.870588235,0.060187206,-0.060187206,0.983227298,-0.18,0.294815356,0.5304499,-0.5304499,0.499983116
TCOF1-K155,TCOF1,0.10924,0.182484758,0.738773404,0.738773404,0.591126553,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K244,TCOF1,0.1696,0.329733388,0.481837075,0.481837075,0.729583934,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K261,TCOF1,0.3,0.033275943,1.477869633,1.477869633,0.34779501,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K296,TCOF1,0.39502,0.12903932,0.889277934,0.889277934,0.521595285,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K322,TCOF1,0.173,0.041487551,1.382082204,1.382082204,0.368742632,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K393,TCOF1,0.2203,0.035681921,1.447551769,1.447551769,0.35178274,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K400,TCOF1,0.029348,0.810973615,0.090993275,0.090993275,0.972323574,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K432,TCOF1,0.19955,0.272917667,0.563968351,0.563968351,0.68086365,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K528,TCOF1,0.5666,0.254266053,0.594711618,0.594711618,0.661114554,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K579,TCOF1,0.1057,0.224353968,0.649066246,0.649066246,0.639126331,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K586,TCOF1,-0.00895,0.96922838,0.013573878,-0.013573878,0.998260607,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K655,TCOF1,0.345,0.224471607,0.648838585,0.648838585,0.639126331,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K74,TCOF1,0.2035,0.019680537,1.705963059,1.705963059,0.292823575,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K746,TCOF1,0.2081,0.055405838,1.256444469,1.256444469,0.396352921,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K791,TCOF1,-0.0429,0.972575251,0.012076786,-0.012076786,0.998671275,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K811,TCOF1,0.21955,0.182504569,0.738726259,0.738726259,0.591126553,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCOF1-K918,TCOF1,0.059,0.829848191,0.081001349,0.081001349,0.974961508,0.625,9.65E-05,4.015382307,4.015382307,0.002635424
TCP1-K400,TCP1,-0.13932,0.199588123,0.699865306,-0.699865306,0.610280646,0.455,0.008600563,2.065473123,2.065473123,0.046956613
TECR-K75,TECR,0.155,0.87095703,0.060003271,0.060003271,0.983227298,0.15,0.272196946,0.565116751,0.565116751,0.476940889
TERF2-K297,TERF2,0.30056,0.274532911,0.561405584,0.561405584,0.681592956,-0.29,0.091732379,1.037477341,-1.037477341,0.233900157
TERF2IP-K251,TERF2IP,-0.5555,0.604195804,0.218822295,-0.218822295,0.890071729,-0.425,0.002928879,2.533298575,-2.533298575,0.022712698
TES-K193,TES,-0.263,0.231960123,0.634586669,-0.634586669,0.647382658,-0.275,0.332437526,0.478289958,-0.478289958,0.538896125
TES-K240,TES,0.582925,0.00609825,2.214794806,2.214794806,0.189705007,-0.275,0.332437526,0.478289958,-0.478289958,0.538896125
TES-K286,TES,-0.2115,0.412740616,0.384322792,-0.384322792,0.792230386,-0.275,0.332437526,0.478289958,-0.478289958,0.538896125
TET2-K53,TET2,-0.7195,6.90E-02,1.161390025,-1.161390025,0.427102408,-0.635,1.15E-05,4.938216043,-4.938216043,8.09E-04
TF-K215,TF,0.28755,0.381956766,0.417985792,0.417985792,0.768673738,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K225,TF,0.9855,0.160085519,0.795647953,0.795647953,0.567435943,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K258,TF,0.134225,0.655010405,0.183751801,0.183751801,0.912114283,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K315,TF,0.322,0.501880896,0.299399335,0.299399335,0.839629232,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K323,TF,0.3995,0.074382833,1.128527285,1.128527285,0.433314351,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K359,TF,0.2273,0.219930994,0.657713563,0.657713563,0.635242847,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K452,TF,-0.22,0.879547353,0.055740774,-0.055740774,0.983227298,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K46,TF,0.321225,0.341698044,0.466357508,0.466357508,0.739275278,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K464,TF,0.213325,0.783748657,0.105823191,0.105823191,0.963872943,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K508,TF,0.124,0.899828256,0.045840373,0.045840373,0.984537206,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K515,TF,0.525,0.079050785,1.102093813,1.102093813,0.446126088,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K553,TF,0.14275,0.940373923,0.026699423,0.026699423,0.99107133,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K571,TF,0.072,0.7927323,0.100873446,0.100873446,0.965539552,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K576,TF,0.89525,0.129027757,0.889316853,0.889316853,0.521595285,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K588,TF,0.00355,0.891640867,0.049810035,0.049810035,0.983742051,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K60,TF,0.0565,0.552550255,0.257628216,0.257628216,0.864901235,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K612,TF,-0.504,2.23E-01,0.652540261,-0.652540261,0.638837924,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K618,TF,0.3155,0.227333493,0.643336575,0.643336575,0.643692129,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K659,TF,0.12375,2.04E-01,6.91E-01,0.691337864,0.615719344,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K668,TF,0.3039,0.627314652,0.202514569,0.202514569,0.900599814,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TF-K676,TF,0.0848,0.597609927,0.223582197,0.223582197,0.886719213,-0.235,0.910796486,0.040578653,-0.040578653,0.953081902
TFIP11-K155,TFIP11,-0.4186,0.099973424,1.000115434,-1.000115434,0.473073891,0.02,0.85768922,0.066670048,0.066670048,0.92261748
TFIP11-K308,TFIP11,0.2925,0.092691512,1.032960032,1.032960032,0.46792952,0.02,0.85768922,0.066670048,0.066670048,0.92261748
TGFB1I1-K65,TGFB1I1,0.352,0.120831866,0.917818517,0.917818517,0.508975216,0.035,0.879781795,0.055625029,0.055625029,0.934815972
TGFBI-K447,TGFBI,1.265,0.109407278,0.960953787,0.960953787,0.489515168,0.15,0.875362415,0.057812104,0.057812104,0.932268164
TGFBI-K53,TGFBI,0.1594,0.73393921,0.13433991,0.13433991,0.946122884,0.15,0.875362415,0.057812104,0.057812104,0.932268164
TGFBI-K90,TGFBI,0.50649,0.2414282,0.617212003,0.617212003,0.655415762,0.15,0.875362415,0.057812104,0.057812104,0.932268164
TGM2-K205,TGM2,0.0202,0.926495553,0.033156661,0.033156661,0.988003261,0.355,0.289718492,0.538023784,0.538023784,0.494781869
TGM2-K265,TGM2,-0.0161,0.910973085,0.040494454,-0.040494454,0.985845275,0.355,0.289718492,0.538023784,0.538023784,0.494781869
TGM2-K590,TGM2,0.134425,0.049749397,1.303212175,1.303212175,0.387973393,0.355,0.289718492,0.538023784,0.538023784,0.494781869
THG1L-K263,THG1L,-0.634,4.25E-01,0.371762515,-0.371762515,0.803307142,-0.45,0.017009287,1.7693139,-1.7693139,0.074302697
THNSL1-K281,THNSL1,0.19555,6.16E-01,0.210756004,0.210756004,0.897929658,0.075,0.995530218,0.001945553,0.001945553,0.999008186
THOC5-K24,THOC5,0.174,0.08404721,1.075476699,1.075476699,0.456123901,0.41,0.041428299,1.382702903,1.382702903,0.135903663
THOC7-K36,THOC7,0.1841,0.520871626,0.2832693,0.2832693,0.847684399,-0.29,0.248383321,0.60487757,-0.60487757,0.450566256
THRAP3-K221,THRAP3,-0.02785,0.697485152,0.156465033,-0.156465033,0.93361126,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K252,THRAP3,0.463,0.035419629,1.450755997,1.450755997,0.35178274,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K319,THRAP3,0.108,0.685068995,0.164265687,0.164265687,0.925830815,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K387,THRAP3,0.21705,0.411753588,0.385362608,0.385362608,0.791615578,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K401,THRAP3,0.18143,1.63E-04,3.788839572,3.788839572,0.04403995,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K470,THRAP3,0.35124,0.0711901,1.147580394,1.147580394,0.429566478,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K519,THRAP3,-0.05445,0.627329193,0.202504502,-0.202504502,0.900599814,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K527,THRAP3,0.0277,0.802665698,0.095465296,0.095465296,0.96768117,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K558,THRAP3,0.4547,0.028700793,1.5421061,1.5421061,0.331174066,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K602,THRAP3,-0.349,0.579056094,0.237279363,-0.237279363,0.876100643,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THRAP3-K811,THRAP3,-0.470575,0.275830449,0.559357793,-0.559357793,0.682021154,0.145,0.024639749,1.60836372,1.60836372,0.095499401
THUMPD1-K285,THUMPD1,-0.37255,0.84892977,0.071128237,-0.071128237,0.981580746,-0.51,0.014581335,1.83620272,-1.83620272,0.066576875
THUMPD1-K288,THUMPD1,-0.031713,0.51620323,0.287179282,-0.287179282,0.847684399,-0.51,0.014581335,1.83620272,-1.83620272,0.066576875
THUMPD1-K294,THUMPD1,-0.38345,0.12046165,0.919151194,-0.919151194,0.508975216,-0.51,0.014581335,1.83620272,-1.83620272,0.066576875
THYN1-K16,THYN1,-0.294175,0.098584762,1.006190207,-1.006190207,0.470526824,-0.17,0.037154926,1.429983601,-1.429983601,0.126438213
THYN1-K42,THYN1,0.298,0.26019802,0.584696012,0.584696012,0.666875038,-0.17,0.037154926,1.429983601,-1.429983601,0.126438213
TIMP3-K68,TIMP3,0.394,0.128710885,0.890384724,0.890384724,0.521595285,0.72,0.126208433,0.898911627,0.898911627,0.287841244
TKFC-K372,TKFC,-0.3123225,0.238464363,0.622576514,-0.622576514,0.653895133,-0.56,3.75E-04,3.426335767,-3.426335767,0.00593597
TKT-K11,TKT,-0.0531,0.902539931,0.044533575,-0.044533575,0.985467285,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K16,TKT,0.0738,0.975431704,0.010803133,0.010803133,0.99923084,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K212,TKT,-0.2608,3.40E-01,0.468185403,-0.468185403,0.73840342,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K240,TKT,-0.235,0.213677772,0.670240654,-0.670240654,0.629689112,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K249,TKT,0.1022,0.320513029,0.494154312,0.494154312,0.723382364,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K268,TKT,0.41245,0.827094474,0.082444881,0.082444881,0.974426733,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K318,TKT,0.06684,0.816371486,0.088112173,0.088112173,0.974317819,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K322,TKT,-0.1416,0.443281873,0.353320027,-0.353320027,0.810363825,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K360,TKT,-0.1343,2.96E-01,0.529001805,-0.529001805,0.700907503,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K59,TKT,0.209,4.12E-01,0.384658379,0.384658379,0.792152691,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TKT-K6,TKT,-0.0891,0.663279403,0.178303489,-0.178303489,0.915033144,0.04,0.906355378,0.042701484,0.042701484,0.949934589
TLE1-K285,TLE1,-0.307785,0.04718644,1.326182784,-1.326182784,0.385351831,-0.265,0.077624333,1.110002119,-1.110002119,0.209184828
TLE1-K310,TLE1,-0.42305,0.167080178,0.777075072,-0.777075072,0.57621754,-0.265,0.077624333,1.110002119,-1.110002119,0.209184828
TLE1-K353,TLE1,-0.3996,0.066405782,1.177794102,-1.177794102,0.422866144,-0.265,0.077624333,1.110002119,-1.110002119,0.209184828
TLE3-K225,TLE3,-0.23845,0.784800609,0.105240668,-0.105240668,0.963872943,-0.38,0.173426974,0.760883354,-0.760883354,0.355664335
TLE3-K232,TLE3,-0.063,0.446714074,0.349970364,-0.349970364,0.810363825,-0.38,0.173426974,0.760883354,-0.760883354,0.355664335
TLE3-K300,TLE3,-0.885,0.157349896,0.803133538,-0.803133538,0.567435943,-0.38,0.173426974,0.760883354,-0.760883354,0.355664335
TLE3-K309,TLE3,-0.45767,0.136632291,0.864446651,-0.864446651,0.537653902,-0.38,0.173426974,0.760883354,-0.760883354,0.355664335
TLE4-K237,TLE4,0.3565,0.365534924,0.437071124,0.437071124,0.757815545,0.28,0.250834879,0.600612074,0.600612074,0.453509261
TLE4-K281,TLE4,-0.15,0.850951765,0.070095057,-0.070095057,0.981580746,0.28,0.250834879,0.600612074,0.600612074,0.453509261
TLN1-K1522,TLN1,0.9435,0.046254251,1.334848344,1.334848344,0.382697866,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K1645,TLN1,0.19563,0.107110924,0.970166232,0.970166232,0.484895473,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K1947,TLN1,0.146555,0.321115141,0.493339216,0.493339216,0.723382364,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K2024,TLN1,0.28675,0.0260252,1.584605918,1.584605918,0.314488248,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K2099,TLN1,0.0015,0.986823718,0.005760421,0.005760421,1,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K2274,TLN1,0.22972,0.951331899,0.021667941,0.021667941,0.994760859,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K2454,TLN1,0.75575,0.006726817,2.17219041,2.17219041,0.198527332,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K284,TLN1,0.1715,0.304555807,0.516333116,0.516333116,0.709629691,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K357,TLN1,0.1929,0.380326837,0.419843028,0.419843028,0.768168168,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TLN1-K910,TLN1,0.65,0.020207496,1.694487488,1.694487488,0.295350203,0.28,0.178775614,0.747691721,0.747691721,0.36298155
TM9SF2-K132,TM9SF2,0.2477,0.521241211,0.282961255,0.282961255,0.847684399,-0.17,0.699078652,0.15547396,-0.15547396,0.834723974
TMA7-K13,TMA7,-0.192,0.075004705,1.12491149,-1.12491149,0.433314351,-0.475,0.007659848,2.11577984,-2.11577984,0.043263466
TMED1-K104,TMED1,0.253254,0.335554301,0.47423719,0.47423719,0.733218795,0.13,0.262520666,0.580836502,0.580836502,0.466865364
TMLHE-K142,TMLHE,-0.696,0.020700885,1.684011089,-1.684011089,0.296733951,-0.66,2.28E-04,3.642710721,-3.642710721,0.004421338
TMLHE-K236,TMLHE,-0.1769,0.724675794,0.139856245,-0.139856245,0.942225266,-0.66,2.28E-04,3.642710721,-3.642710721,0.004421338
TMSB10-K15,TMSB10,0.06425,0.490832902,0.309066333,0.309066333,0.830605521,-0.18,0.429615131,0.366920432,-0.366920432,0.628017136
TMSB10-K26,TMSB10,0.7715,0.051120473,1.291405133,1.291405133,0.390252172,-0.18,0.429615131,0.366920432,-0.366920432,0.628017136
TMSB10-K39,TMSB10,0.1105,0.145937865,0.835832013,0.835832013,0.557129294,-0.18,0.429615131,0.366920432,-0.366920432,0.628017136
TMSB10-K4,TMSB10,0.033,0.610242229,0.214497743,0.214497743,0.893624434,-0.18,0.429615131,0.366920432,-0.366920432,0.628017136
TMSB4X-K12,TMSB4X,-0.04455,0.571566652,0.242933118,-0.242933118,0.873096038,0.01,0.436181341,0.360332917,0.360332917,0.633544468
TMSB4X-K26,TMSB4X,0.297175,0.950869082,0.021879274,0.021879274,0.994521417,0.01,0.436181341,0.360332917,0.360332917,0.633544468
TMSB4X-K32,TMSB4X,0.04366,0.519561307,0.2843632,0.2843632,0.847684399,0.01,0.436181341,0.360332917,0.360332917,0.633544468
TMSB4X-K39,TMSB4X,0.03645,0.884797702,0.053156014,0.053156014,0.983538062,0.01,0.436181341,0.360332917,0.360332917,0.633544468
TMSB4X-K4,TMSB4X,-0.065525,0.941950751,0.025971803,-0.025971803,0.99107133,0.01,0.436181341,0.360332917,0.360332917,0.633544468
TNC-K1057,TNC,0.672,0.357069143,0.447247678,0.447247678,0.752572803,-0.445,0.300067492,0.522781052,-0.522781052,0.505728192
TNC-K2089,TNC,0.0532,0.384753351,0.414817589,0.414817589,0.771517608,-0.445,0.300067492,0.522781052,-0.522781052,0.505728192
TNPO3-K594,TNPO3,-0.18135,0.687856526,0.162502138,-0.162502138,0.926804637,0.29,0.211523024,0.674642352,0.674642352,0.403904036
TNS1-K1389,TNS1,0.5212815,0.43417635,0.362333837,0.362333837,0.809290654,0.245,0.473372717,0.324796776,0.324796776,0.663841827
TOP1-K172,TOP1,0.20275,0.031038553,1.508098538,1.508098538,0.341230751,0.325,0.024677477,1.607699239,1.607699239,0.095499401
TOP1-K673,TOP1,0.51395,0.002986913,2.524777426,2.524777426,0.149883755,0.325,0.024677477,1.607699239,1.607699239,0.095499401
TOP2A-K1422,TOP2A,1.78425,4.46E-04,3.35039183,3.35039183,0.070850919,1.025,2.44E-04,3.61349292,3.61349292,0.004562181
TOP2A-K1433,TOP2A,1.353,6.92E-05,4.159727299,4.159727299,0.025404988,1.025,2.44E-04,3.61349292,3.61349292,0.004562181
TOP2B-K1214,TOP2B,-0.14159,0.995026834,0.002165207,-0.002165207,1,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOP2B-K1323,TOP2B,-0.1845,0.982818751,0.007526566,-0.007526566,0.999575323,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOP2B-K1327,TOP2B,0.3658,0.20732245,0.683353667,0.683353667,0.620586393,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOP2B-K1427,TOP2B,0.1,0.686723651,0.163217995,0.163217995,0.926452824,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOP2B-K1434,TOP2B,-0.0015,5.58E-01,0.253624456,-0.253624456,0.865677572,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOP2B-K1486,TOP2B,-0.22575,0.420911501,0.375809207,-0.375809207,0.800114183,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOP2B-K1490,TOP2B,1.0904,0.033736105,1.471905055,1.471905055,0.348095339,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOP2B-K42,TOP2B,-0.04585,0.875370635,0.057808026,-0.057808026,0.983227298,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOP2B-K452,TOP2B,-0.3482,0.839840514,0.075803179,-0.075803179,0.979010453,0.05,0.99106017,0.003899978,0.003899978,0.996650995
TOX4-K207,TOX4,0.2388,0.008611728,2.0649097,2.0649097,0.215118194,0.155,0.008716413,2.059662206,2.059662206,0.04739294
TP53BP1-K1365,TP53BP1,-0.3163,0.25295777,0.596951976,-0.596951976,0.660369652,-0.245,0.006147017,2.211335603,-2.211335603,0.037264842
TP53BP1-K1631,TP53BP1,0.10315,0.714961068,0.145717606,0.145717606,0.938034449,-0.245,0.006147017,2.211335603,-2.211335603,0.037264842
TP53BP1-K1672,TP53BP1,0.2025,0.226200642,0.645506167,0.645506167,0.641828816,-0.245,0.006147017,2.211335603,-2.211335603,0.037264842
